YEAR,ORIGIN_STATE_NM,DEST_STATE_NM,TOTAL_FLIGHTS
2013,Minnesota,Texas,9707
2013,Minnesota,Utah,3804
2013,Minnesota,Virginia,4555
2013,Minnesota,Washington,6687
2013,Minnesota,Wisconsin,13137
2013,Minnesota,Wyoming,136
2013,Mississippi,Florida,729
2013,Mississippi,Georgia,8482
2013,Mississippi,Illinois,1056
2013,Mississippi,Maryland,439
2013,Mississippi,North Carolina,24
2013,Mississippi,Texas,9239
2013,Missouri,Alabama,716
2013,Missouri,Arizona,6585
2013,Missouri,Arkansas,310
2013,Missouri,California,4832
2013,Missouri,Colorado,9295
2013,Missouri,Florida,6854
2013,Missouri,Georgia,13793
2013,Missouri,Illinois,15766
2013,Missouri,Iowa,7
2013,Missouri,Kentucky,2888
2013,Missouri,Louisiana,1637
2013,Missouri,Maryland,4232
2013,Missouri,Massachusetts,2045
2013,Missouri,Michigan,5156
2013,Missouri,Minnesota,6690
2013,Missouri,Missouri,1557
2013,Missouri,Nebraska,1999
2013,Missouri,Nevada,3985
2013,Missouri,New Jersey,6411
2013,Missouri,New Mexico,5
2013,Missouri,New York,2375
2013,Missouri,North Carolina,5335
2013,Missouri,Ohio,1782
2013,Missouri,Oklahoma,2268
2013,Missouri,Pennsylvania,1386
2013,Missouri,Tennessee,2999
2013,Missouri,Texas,17809
2013,Missouri,Utah,2569
2013,Missouri,Virginia,3563
2013,Missouri,Washington,1850
2013,Missouri,Wisconsin,1957
2013,Montana,California,361
2013,Montana,Colorado,7169
2013,Montana,Georgia,177
2013,Montana,Illinois,283
2013,Montana,Minnesota,2707
2013,Montana,New Jersey,72
2013,Montana,Utah,10113
2013,Nebraska,Arizona,2980
2013,Nebraska,California,3
2013,Nebraska,Colorado,6648
2013,Nebraska,Florida,140
2013,Nebraska,Georgia,3279
2013,Nebraska,Illinois,9676
2013,Nebraska,Kentucky,2
2013,Nebraska,Michigan,2345
2013,Nebraska,Minnesota,4758
2013,Nebraska,Missouri,1999
2013,Nebraska,Nevada,1859
2013,Nebraska,New Jersey,1562
2013,Nebraska,North Carolina,1447
2013,Nebraska,Texas,6040
2013,Nebraska,Utah,1359
2013,Nebraska,Washington,110
2013,Nevada,Alabama,728
2013,Nevada,Alaska,12
2013,Nevada,Arizona,17265
2013,Nevada,Arkansas,730
2013,Nevada,California,59031
2013,Nevada,Colorado,14616
2013,Nevada,Connecticut,524
2013,Nevada,Florida,4149
2013,Nevada,Georgia,8470
2013,Nevada,Hawaii,1712
2013,Nevada,Idaho,1432
2013,Nevada,Illinois,9903
2013,Nevada,Indiana,1937
2013,Nevada,Iowa,188
2013,Nevada,Kansas,426
2013,Nevada,Kentucky,965
2013,Nevada,Louisiana,1355
2013,Nevada,Maryland,2769
2013,Nevada,Massachusetts,1626
2013,Nevada,Michigan,4620
2013,Nevada,Minnesota,4290
2013,Nevada,Missouri,3985
2013,Nevada,Nebraska,1859
2013,Nevada,Nevada,3540
2013,Nevada,New Hampshire,140
2013,Nevada,New Jersey,4038
2013,Nevada,New Mexico,1837
2013,Nevada,New York,9564
2013,Nevada,North Carolina,3771
2013,Nevada,Ohio,2678
2013,Nevada,Oklahoma,1818
2013,Nevada,Oregon,5936
2013,Nevada,Pennsylvania,4768
2013,Nevada,Rhode Island,10
