YEAR,MONTH,STATE,TOTAL_FLIGHTS
2014,4,Ohio,3383,0
2014,4,Oklahoma,1586,0
2014,4,Oregon,4613,0
2014,4,Pennsylvania,6280,0
2014,4,Rhode Island,978,0
2014,4,South Carolina,1246,0
2014,4,South Dakota,552,0
2014,4,Tennessee,4724,0
2014,4,Texas,22632,0
2014,4,Utah,8733,0
2014,4,Vermont,316,0
2014,4,Virginia,5951,0
2014,4,Washington,8435,0
2014,4,West Virginia,287,0
2014,4,Wisconsin,2869,0
2014,4,Wyoming,132,0
2014,5,Alabama,1268,0
2014,5,Alaska,1411,0
2014,5,Arizona,13770,0
2014,5,Arkansas,1283,0
2014,5,California,19413,0
2014,5,Colorado,19019,0
2014,5,Connecticut,1778,0
2014,5,Delaware,75,0
2014,5,Florida,9596,0
2014,5,Georgia,31799,0
2014,5,Hawaii,3906,0
2014,5,Idaho,943,0
2014,5,Illinois,24611,0
2014,5,Indiana,2613,0
2014,5,Iowa,869,0
2014,5,Kansas,744,0
2014,5,Kentucky,1672,0
2014,5,Louisiana,3662,0
2014,5,Maine,491,0
2014,5,Maryland,8084,0
2014,5,Massachussets,9533,0
2014,5,Michigan,9277,0
2014,5,Minnesota,8840,0
2014,5,Mississippi,746,0
2014,5,Missouri,4416,0
2014,5,Montana,264,0
2014,5,Nebraska,1778,0
2014,5,Nevada,12105,0
2014,5,New Hampshire,546,0
2014,5,New Jersey,9037,0
2014,5,New Mexico,0
2014,5,New York,10159,0
2014,5,North Carolina,9618,0
2014,5,North Dakota,457,0
2014,5,Ohio,3286,0
2014,5,Oklahoma,1801,0
2014,5,Oregon,4822,0
2014,5,Pennsylvania,6419,0
2014,5,Rhode Island,947,0
2014,5,South Carolina,1270,0
2014,5,South Dakota,577,0
2014,5,Tennessee,4817,0
2014,5,Texas,23614,0
2014,5,Utah,8806,0
2014,5,Vermont,358,0
2014,5,Virginia,6083,0
2014,5,Washington,9213,0
2014,5,West Virginia,295,0
2014,5,Wisconsin,2899,0
2014,5,Wyoming,193,0
2014,6,Alabama,1259,0
2014,6,Alaska,1771,0
2014,6,Arizona,13806,0
2014,6,Arkansas,1293,0
2014,6,California,19458,0
2014,6,Colorado,19733,0
2014,6,Connecticut,1871,0
2014,6,Delaware,76,0
2014,6,Florida,9494,0
2014,6,Georgia,30934,0
2014,6,Hawaii,4005,0
2014,6,Idaho,1011,0
2014,6,Illinois,25330,0
2014,6,Indiana,2474,0
2014,6,Iowa,852,0
2014,6,Kansas,806,0
2014,6,Kentucky,1829,0
2014,6,Louisiana,3383,0
2014,6,Maine,617,0
2014,6,Maryland,7996,0
2014,6,Massachussets,9658,0
2014,6,Michigan,9158,0
2014,6,Minnesota,9898,0
2014,6,Mississippi,684,0
2014,6,Missouri,4672,0
2014,6,Montana,396,0
2014,6,Nebraska,1782,0
2014,6,Nevada,11805,0
2014,6,New Hampshire,601,0
2014,6,New Jersey,9696,0
2014,6,New Mexico,0
2014,6,New York,10174,0
2014,6,North Carolina,8925,0
2014,6,North Dakota,483,0
2014,6,Ohio,2948,0
2014,6,Oklahoma,1866,0
2014,6,Oregon,4825,0
2014,6,Pennsylvania,6224,0
2014,6,Rhode Island,1007,0
2014,6,South Carolina,1246,0
2014,6,South Dakota,610,0
2014,6,Tennessee,4763,0
2014,6,Texas,23778,0
2014,6,Utah,9491,0
2014,6,Vermont,472,0
2014,6,Virginia,5823,0
2014,6,Washington,10141,0
2014,6,West Virginia,294,0
2014,6,Wisconsin,3007,0
2014,6,Wyoming,332,0
2014,7,Alabama,1237,0
2014,7,Alaska,1916,0
2014,7,Arizona,14272,0
2014,7,Arkansas,1289,0
2014,7,California,20363,0
2014,7,Colorado,20788,0
2014,7,Connecticut,1939,0
2014,7,Delaware,80,0
2014,7,Florida,9783,0
2014,7,Georgia,31808,0
2014,7,Hawaii,4212,0
2014,7,Idaho,1043,0
2014,7,Illinois,25838,0
2014,7,Indiana,2628,0
2014,7,Iowa,861,0
2014,7,Kansas,705,0
2014,7,Kentucky,1858,0
2014,7,Louisiana,3417,0
2014,7,Maine,559,0
2014,7,Maryland,8175,0
2014,7,Massachussets,10097,0
2014,7,Michigan,9697,0
2014,7,Minnesota,10130,0
2014,7,Mississippi,674,0
2014,7,Missouri,5029,0
2014,7,Montana,553,0
